,AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Savings,EmploymentDuration,InstallmentRatePercent,PersonalStatusAndSex,OtherDebtors,ResidenceDuration,Property,Age,OtherInstallment,Housing,CreditsInThisBank,Job,NumberOfPeopleLiableToMaintenance,Telephone,Foreign,Decision
900,0 DM,16,Has credits in other banks,new car,2625,<100 DM,employed 7 years or more,2,male single,guarantor,4,building society savings agreement/life insurance,43,bank,rent,1,skilled employee/official,1,yes,yes,2
901,No account,20,Has credits in other banks,new car,3485,Unknown/No savings,employed under 1 year,2,male divorced/separated,none,4,real estate,44,none,own,2,skilled employee/official,1,yes,yes,1
902,No account,36,Has credits in other banks,used car,10477,Unknown/No savings,employed 7 years or more,2,male single,none,4,unknown/no property,42,none,for free,2,skilled employee/official,1,none,yes,1
903,No account,15,Existing credits paid duly till now,radio/TV,1386,Unknown/No savings,employed from 1 to 4 years,4,male married/widowed,none,2,real estate,40,none,rent,1,skilled employee/official,1,yes,yes,1
904,No account,24,Existing credits paid duly till now,radio/TV,1278,<100 DM,employed 7 years or more,4,male single,none,1,real estate,36,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
905,0 DM,12,Existing credits paid duly till now,radio/TV,1107,<100 DM,employed from 1 to 4 years,2,male single,none,2,real estate,20,none,rent,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1
906,0 DM,21,Existing credits paid duly till now,new car,3763,Unknown/No savings,employed from 4 to 7 years,2,male single,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1,none,no,1
907,<200 DM,36,Existing credits paid duly till now,education,3711,Unknown/No savings,employed from 1 to 4 years,2,male married/widowed,none,2,"car or other, not in attribute 6",27,none,own,1,skilled employee/official,1,none,yes,1
908,No account,15,Delay in paying in past,used car,3594,<100 DM,employed under 1 year,1,female divorced/separated/married,none,2,building society savings agreement/life insurance,46,none,own,2,unskilled - resident,1,none,yes,1
909,<200 DM,9,Existing credits paid duly till now,new car,3195,Unknown/No savings,employed from 1 to 4 years,1,female divorced/separated/married,none,2,real estate,33,none,own,1,unskilled - resident,1,none,yes,1
910,No account,36,Delay in paying in past,radio/TV,4454,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee/official,1,none,yes,1
911,<200 DM,24,Has credits in other banks,furnitures,4736,<100 DM,employed under 1 year,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes,2
912,<200 DM,30,Existing credits paid duly till now,radio/TV,2991,Unknown/No savings,employed 7 years or more,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee/official,1,none,yes,1
913,No account,11,Existing credits paid duly till now,business,2142,>1000 DM,employed 7 years or more,1,male divorced/separated,none,2,real estate,28,none,own,1,skilled employee/official,1,yes,yes,1
914,0 DM,24,All credits paid duly,business,3161,<100 DM,employed from 1 to 4 years,4,male single,none,2,building society savings agreement/life insurance,31,none,rent,1,skilled employee/official,1,yes,yes,2
915,<200 DM,48,No credits taken,others,18424,<100 DM,employed from 1 to 4 years,1,female divorced/separated/married,none,2,building society savings agreement/life insurance,32,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,no,2
916,No account,10,Existing credits paid duly till now,used car,2848,100-500 DM,employed from 1 to 4 years,1,male single,co-applicant,2,real estate,32,none,own,1,skilled employee/official,2,none,yes,1
917,0 DM,6,Existing credits paid duly till now,new car,14896,<100 DM,employed 7 years or more,1,male single,none,4,unknown/no property,68,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
918,0 DM,24,Existing credits paid duly till now,furnitures,2359,100-500 DM,unemployed,1,male divorced/separated,none,1,building society savings agreement/life insurance,33,none,own,1,skilled employee/official,1,none,yes,2
919,0 DM,24,Existing credits paid duly till now,furnitures,3345,<100 DM,employed 7 years or more,4,male single,none,2,building society savings agreement/life insurance,39,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
920,No account,18,Has credits in other banks,furnitures,1817,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,2,unknown/no property,28,none,own,2,skilled employee/official,1,none,yes,1
921,No account,48,Delay in paying in past,radio/TV,12749,500-1000 DM,employed from 4 to 7 years,4,male single,none,1,"car or other, not in attribute 6",37,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
922,0 DM,9,Existing credits paid duly till now,radio/TV,1366,<100 DM,employed under 1 year,3,female divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,rent,1,skilled employee/official,1,none,yes,2
923,<200 DM,12,Existing credits paid duly till now,new car,2002,<100 DM,employed from 4 to 7 years,3,male single,none,4,building society savings agreement/life insurance,30,none,rent,1,skilled employee/official,2,yes,yes,1
924,0 DM,24,All credits paid duly,furnitures,6872,<100 DM,employed under 1 year,2,male divorced/separated,none,1,building society savings agreement/life insurance,55,bank,own,1,skilled employee/official,1,yes,yes,2
925,0 DM,12,All credits paid duly,new car,697,<100 DM,employed under 1 year,4,male single,none,2,"car or other, not in attribute 6",46,bank,own,2,skilled employee/official,1,yes,yes,2
926,0 DM,18,Has credits in other banks,furnitures,1049,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,1
927,0 DM,48,Existing credits paid duly till now,used car,10297,<100 DM,employed from 4 to 7 years,4,male single,none,4,unknown/no property,39,stores,for free,3,skilled employee/official,2,yes,yes,2
928,No account,30,Existing credits paid duly till now,radio/TV,1867,Unknown/No savings,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",58,none,own,1,skilled employee/official,1,yes,yes,1
929,0 DM,12,Delay in paying in past,new car,1344,<100 DM,employed from 1 to 4 years,4,male single,none,2,real estate,43,none,own,2,unskilled - resident,2,none,yes,1
930,0 DM,24,Existing credits paid duly till now,furnitures,1747,<100 DM,employed under 1 year,4,male single,co-applicant,1,building society savings agreement/life insurance,24,none,own,1,unskilled - resident,1,none,no,1
931,<200 DM,9,Existing credits paid duly till now,radio/TV,1670,<100 DM,employed under 1 year,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee/official,1,yes,yes,2
932,No account,9,Has credits in other banks,new car,1224,<100 DM,employed from 1 to 4 years,3,male single,none,1,real estate,30,none,own,2,skilled employee/official,1,none,yes,1
933,No account,12,Has credits in other banks,radio/TV,522,500-1000 DM,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,42,none,own,2,skilled employee/official,2,yes,yes,1
934,0 DM,12,Existing credits paid duly till now,radio/TV,1498,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,1,"car or other, not in attribute 6",23,bank,own,1,skilled employee/official,1,none,yes,1
935,<200 DM,30,Delay in paying in past,radio/TV,1919,100-500 DM,employed under 1 year,4,male single,none,3,unknown/no property,30,stores,own,2,management/self-employed/highly qualified employee/officer,1,none,yes,2
936,>=200 DM,9,Existing credits paid duly till now,radio/TV,745,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,2,real estate,28,none,own,1,unskilled - resident,1,none,yes,2
937,<200 DM,6,Existing credits paid duly till now,radio/TV,2063,<100 DM,employed under 1 year,4,male married/widowed,none,3,"car or other, not in attribute 6",30,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
938,<200 DM,60,Existing credits paid duly till now,education,6288,<100 DM,employed from 1 to 4 years,4,male single,none,4,unknown/no property,42,none,for free,1,skilled employee/official,1,none,yes,2
939,No account,24,Has credits in other banks,used car,6842,Unknown/No savings,employed from 1 to 4 years,2,male single,none,4,building society savings agreement/life insurance,46,none,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
940,No account,12,Existing credits paid duly till now,new car,3527,Unknown/No savings,employed under 1 year,2,male single,none,3,building society savings agreement/life insurance,45,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1
941,No account,10,Existing credits paid duly till now,new car,1546,<100 DM,employed from 1 to 4 years,3,male single,none,2,real estate,31,none,own,1,unskilled - resident,2,none,no,1
942,No account,24,Existing credits paid duly till now,furnitures,929,Unknown/No savings,employed from 4 to 7 years,4,male single,none,2,"car or other, not in attribute 6",31,stores,own,1,skilled employee/official,1,yes,yes,1
943,No account,4,Has credits in other banks,new car,1455,<100 DM,employed from 4 to 7 years,2,male single,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,1
944,0 DM,15,Existing credits paid duly till now,furnitures,1845,<100 DM,employed under 1 year,4,female divorced/separated/married,guarantor,1,building society savings agreement/life insurance,46,none,rent,1,skilled employee/official,1,none,yes,1
945,<200 DM,48,No credits taken,new car,8358,500-1000 DM,employed under 1 year,1,female divorced/separated/married,none,1,"car or other, not in attribute 6",30,none,own,2,skilled employee/official,1,none,yes,1
946,0 DM,24,All credits paid duly,furnitures,3349,500-1000 DM,employed under 1 year,4,male single,none,4,unknown/no property,30,none,for free,1,skilled employee/official,2,yes,yes,2
947,No account,12,Existing credits paid duly till now,new car,2859,Unknown/No savings,unemployed,4,male single,none,4,unknown/no property,38,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
948,No account,18,Existing credits paid duly till now,furnitures,1533,<100 DM,employed under 1 year,4,male married/widowed,co-applicant,1,building society savings agreement/life insurance,43,none,own,1,unskilled - resident,2,none,yes,2
949,No account,24,Existing credits paid duly till now,radio/TV,3621,100-500 DM,employed 7 years or more,2,male single,none,4,"car or other, not in attribute 6",31,none,own,2,skilled employee/official,1,none,yes,2
950,<200 DM,18,Has credits in other banks,business,3590,<100 DM,unemployed,3,male married/widowed,none,3,"car or other, not in attribute 6",40,none,own,3,unemployed/unskilled - non-resident,2,yes,yes,1
951,0 DM,36,Delay in paying in past,business,2145,<100 DM,employed from 4 to 7 years,2,male single,none,1,"car or other, not in attribute 6",24,none,own,2,skilled employee/official,1,yes,yes,2
952,<200 DM,24,Existing credits paid duly till now,used car,4113,500-1000 DM,employed under 1 year,3,female divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,1,skilled employee/official,1,none,yes,2
953,No account,36,Existing credits paid duly till now,furnitures,10974,<100 DM,unemployed,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,2
954,0 DM,12,Existing credits paid duly till now,new car,1893,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,guarantor,4,building society savings agreement/life insurance,29,none,own,1,skilled employee/official,1,yes,yes,1
955,0 DM,24,Has credits in other banks,radio/TV,1231,>1000 DM,employed 7 years or more,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,57,none,rent,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
956,>=200 DM,30,Has credits in other banks,radio/TV,3656,Unknown/No savings,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,49,stores,own,2,unskilled - resident,1,none,yes,1
957,<200 DM,9,Has credits in other banks,radio/TV,1154,<100 DM,employed 7 years or more,2,male single,none,4,real estate,37,none,own,3,unskilled - resident,1,none,yes,1
958,0 DM,28,Existing credits paid duly till now,new car,4006,<100 DM,employed from 1 to 4 years,3,male single,none,2,"car or other, not in attribute 6",45,none,own,1,unskilled - resident,1,none,yes,2
959,<200 DM,24,Existing credits paid duly till now,furnitures,3069,100-500 DM,employed 7 years or more,4,male single,none,4,unknown/no property,30,none,for free,1,skilled employee/official,1,none,yes,1
